FlowID,Source,Destination,Throughput(Mbps),Latency_avg(ms),Jitter_avg(ms),PacketLoss(%),Duration_s,RandSeed,RunDateTime
1,10.1.3.1,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
2,10.1.3.2,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
3,10.1.3.3,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
4,10.1.3.4,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
5,10.1.3.5,10.1.3.31,0.125225,7.06161,5.11479,89.2143,20.2966,12345,09-Dec-2025_16-49
6,10.1.3.6,10.1.3.31,0.867955,6.70207,5.34539,95.8929,1.11508,12345,09-Dec-2025_16-49
7,10.1.3.7,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
8,10.1.3.8,10.1.3.31,0.849087,20.1842,5.18218,92.6071,2.05175,12345,09-Dec-2025_16-49
9,10.1.3.9,10.1.3.31,0.496073,178.646,16.0471,95.9286,1.93404,12345,09-Dec-2025_16-49
10,10.1.3.10,10.1.3.31,0.01295,9.22627,7.72661,98.5357,26.6453,12345,09-Dec-2025_16-49
11,10.1.3.11,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
12,10.1.3.12,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
13,10.1.3.13,10.1.3.31,0.0684193,9.45849,5.99058,92,27.5534,12345,09-Dec-2025_16-49
14,10.1.3.14,10.1.3.31,0.884287,1.06392,1.349,98.6786,0.352139,12345,09-Dec-2025_16-49
15,10.1.3.15,10.1.3.31,0.105734,60.729,11.5296,89.6429,23.0828,12345,09-Dec-2025_16-49
16,10.1.3.16,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
17,10.1.3.17,10.1.3.31,0.796291,46.2792,9.29659,86.7857,3.91053,12345,09-Dec-2025_16-49
18,10.1.3.18,10.1.3.31,0.850614,5.64285,5.56982,94.7857,1.44453,12345,09-Dec-2025_16-49
19,10.1.3.19,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
20,10.1.3.20,10.1.3.31,0.827479,10.3901,6.22879,94.8214,1.47474,12345,09-Dec-2025_16-49
21,10.1.3.21,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
22,10.1.3.22,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
23,10.1.3.23,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
24,10.1.3.24,10.1.3.31,0.863986,63.2945,10.3253,97.25,0.750049,12345,09-Dec-2025_16-49
25,10.1.3.25,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
26,10.1.3.26,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
27,10.1.3.27,10.1.3.31,1.08462,2.24941,2.75836,99.6786,0.0698349,12345,09-Dec-2025_16-49
28,10.1.3.28,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
29,10.1.3.29,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
30,10.1.3.30,10.1.3.31,0,0,0,100,0,12345,09-Dec-2025_16-49
31,10.1.4.1,10.1.4.11,0.810187,73.3863,6.74477,93.5,1.89057,12345,09-Dec-2025_16-49
32,10.1.4.2,10.1.4.11,0,0,0,100,0,12345,09-Dec-2025_16-49
33,10.1.4.3,10.1.4.11,0.719896,80.4428,9.85587,72.75,8.91991,12345,09-Dec-2025_16-49
34,10.1.4.4,10.1.4.11,0.543202,243.123,22.037,96.9643,1.31693,12345,09-Dec-2025_16-49
35,10.1.4.5,10.1.4.11,0,0,0,100,0,12345,09-Dec-2025_16-49
36,10.1.4.6,10.1.4.11,0,0,0,100,0,12345,09-Dec-2025_16-49
37,10.1.4.7,10.1.4.11,0,0,0,100,0,12345,09-Dec-2025_16-49
38,10.1.4.8,10.1.4.11,0.826588,33.4574,5.90849,79,5.98679,12345,09-Dec-2025_16-49
39,10.1.4.9,10.1.4.11,0,0,0,100,0,12345,09-Dec-2025_16-49
40,10.1.4.10,10.1.4.11,0,0,0,100,0,12345,09-Dec-2025_16-49
